TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow_Rate,PF1_Pressure,PF1_Gas_Flow_Rate,PF2_Pressure,PF2_Gas_Flow_Rate
20250306T01:11:42.028,0,0,0,26,0.0,0,0.002,0.0,0.002,0.0
20250306T01:11:43.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:44.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:45.032,0,0,0,26,0.0,0,0.002,0.0,0.002,0.0
20250306T01:11:46.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:47.028,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:48.032,0,0,0,26,0.0,0,0.002,0.0,0.002,0.0
20250306T01:11:49.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:50.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:51.047,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:52.025,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:53.030,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:54.046,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:55.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:56.026,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:57.017,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:58.031,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:11:59.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:12:00.028,0,0,0,26,0.0,0,0.002,0.0,0.002,0.0
